sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
ESCORTS,LONG,2121.45,2095.9925999999996,362,-9215.578800000085,-9483.611826677276,SL,2022-09-29 12:10:00+05:30,2022-09-29 13:05:00+05:30
GLENMARK,LONG,389.95,387.6,1973,-4636.549999999933,-4906.389369889833,EMA50_DYN,2022-09-29 13:45:00+05:30,2022-09-29 14:25:00+05:30
MFSL,LONG,762.2,770.3,1009,8172.899999999909,7899.504038894909,EOD,2022-09-29 14:30:00+05:30,2022-09-29 15:15:00+05:30
BHARATFORG,LONG,703.65,706.7,930,2836.5000000000637,2605.0454696370634,EMA50_DYN,2022-10-04 11:00:00+05:30,2022-10-04 14:15:00+05:30
ASHOKLEY,LONG,75.95,75.7,8616,-2154.0,-2384.0228417064,EOD,2022-10-04 14:20:00+05:30,2022-10-04 15:15:00+05:30
IDFCFIRSTB,LONG,54.45,54.4,12039,-601.9500000000513,-832.8182925039513,EMA50_DYN,2022-10-06 10:45:00+05:30,2022-10-06 13:40:00+05:30
BANKBARODA,LONG,128.1,127.4,5117,-3581.899999999942,-3811.902717930942,EMA50_DYN,2022-10-06 13:45:00+05:30,2022-10-06 14:40:00+05:30
RECLTD,LONG,95.25,95.6,6882,2408.6999999999607,2176.974580687761,EOD,2022-10-06 14:45:00+05:30,2022-10-06 15:15:00+05:30
BANKBARODA,SHORT,124.15,124.77074999999999,5180,-3215.4849999999315,-3443.0661792535416,SL,2022-10-10 14:10:00+05:30,2022-10-10 14:25:00+05:30
SHRIRAMFIN,LONG,240.55,240.6,2602,130.09999999995563,-90.54085701984437,EMA50_DYN,2022-10-14 11:00:00+05:30,2022-10-14 14:05:00+05:30
AUBANK,LONG,602.65,601.6,1038,-1089.8999999999528,-1310.0646375989527,EOD,2022-10-14 14:10:00+05:30,2022-10-14 15:15:00+05:30
EXIDEIND,LONG,164.8,163.9,3755,-3379.5000000000214,-3596.6384556810212,EMA50_DYN,2022-10-27 10:30:00+05:30,2022-10-27 11:25:00+05:30
CONCOR,LONG,633.1,629.7,977,-3321.799999999978,-3538.854416365578,EMA50_DYN,2022-10-27 11:30:00+05:30,2022-10-27 14:45:00+05:30
EXIDEIND,LONG,165.45,166.6,3741,4302.1500000000215,4082.7689937147215,EOD,2022-10-27 14:50:00+05:30,2022-10-27 15:15:00+05:30
JINDALSTEL,LONG,492.85,499.19149999999996,1224,7761.995999999926,7547.15820985603,TSL,2022-11-11 10:45:00+05:30,2022-11-11 13:00:00+05:30
GODREJPROP,LONG,1295.2,1294.5,466,-326.2000000000212,-538.8336900452211,EOD,2022-11-11 13:05:00+05:30,2022-11-11 15:15:00+05:30
MFSL,LONG,697.8,693.75,915,-3705.749999999958,-3929.725338124458,EMA50_DYN,2022-12-22 12:25:00+05:30,2022-12-22 13:55:00+05:30
BALKRISIND,LONG,2150.0,2154.0,297,1188.0,962.601738912,EOD,2022-12-22 14:00:00+05:30,2022-12-22 15:15:00+05:30
BANKBARODA,LONG,177.55,177.5,3514,-175.70000000003995,-395.54828412823997,EMA50_DYN,2023-01-09 10:30:00+05:30,2023-01-09 13:45:00+05:30
ASHOKLEY,LONG,72.9,73.2,8558,2567.3999999999755,2346.7780240211755,EOD,2023-01-09 13:50:00+05:30,2023-01-09 15:15:00+05:30
