filter_type,threshold,exit_rule,trades,win_rate,gross_pnl,stt,net_return,sl_hits
vwap,0.008,none,20,30.0,-12201.88186416557,3489.741836851502,-15.691623701017074,12
vwap,0.008,ema21,25,28.000000000000004,-7216.646837310553,4363.620370628358,-11.58026720793891,6
vwap,0.008,ema9,35,28.57142857142857,-5054.95904678318,6108.716139204407,-11.163675185987588,4
vwap,0.008,high2,46,30.434782608695656,-9433.429324950914,8029.276691561128,-17.46270601651204,4
vwap,0.008,high1,20,30.0,-12201.88186416557,3489.741836851502,-15.691623701017074,12
vwap,0.009,none,19,36.84210526315789,392.2012911993852,3317.778086456299,-2.925576795256914,10
vwap,0.009,ema21,26,34.61538461538461,4064.932659302136,4541.400634603882,-0.4764679753017463,7
vwap,0.009,ema9,35,28.57142857142857,864.9100236513568,6110.402219610595,-5.245492195959239,3
vwap,0.009,high2,51,35.294117647058826,-4479.776224670111,8901.372677356723,-13.381148902026835,4
vwap,0.009,high1,19,36.84210526315789,392.2012911993852,3317.778086456299,-2.925576795256914,10
vwap,0.01,none,20,35.0,-229.59379363945663,3492.739045263673,-3.7223328389031294,11
vwap,0.01,ema21,26,38.46153846153847,8178.3675216678075,4541.754503637696,3.6366130180301117,7
vwap,0.01,ema9,32,34.375,11286.021263275374,5589.163514055633,5.696857749219741,3
vwap,0.01,high2,54,27.77777777777778,-6027.589746398618,9426.504907715609,-15.454094654114229,4
vwap,0.01,high1,20,35.0,-229.59379363945663,3492.739045263673,-3.7223328389031294,11
vwap,0.011,none,21,33.33333333333333,-5192.883309478019,3667.165956077576,-8.860049265555595,12
vwap,0.011,ema21,27,40.74074074074074,6396.491922455143,4716.181414451599,1.6803105080035439,7
vwap,0.011,ema9,34,41.17647058823529,13035.443507080232,5936.416218562317,7.099027288517915,2
vwap,0.011,high2,51,37.254901960784316,8852.980680847391,8903.091608837893,-0.05011092799050129,3
vwap,0.011,high1,21,33.33333333333333,-5192.883309478019,3667.165956077576,-8.860049265555595,12
vwap,0.012,none,19,42.10526315789473,17596.02577011171,3317.7219214218144,14.278303848689896,9
vwap,0.012,ema21,24,41.66666666666667,18764.493204193343,4192.198397984314,14.57229480620903,5
vwap,0.012,ema9,34,47.05882352941176,27168.282252197405,5939.301175914003,21.2289810762834,2
vwap,0.012,high2,52,34.61538461538461,9479.74340667747,9077.619357751468,0.4021240489260017,3
vwap,0.012,high1,19,42.10526315789473,17596.02577011171,3317.7219214218144,14.278303848689896,9
vwap,0.013,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
vwap,0.013,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
vwap,0.013,ema9,35,45.714285714285715,24672.582252197462,6114.000175914003,18.558582076283457,3
vwap,0.013,high2,55,36.36363636363637,11243.5680740358,9602.89011104584,1.640677962989961,3
vwap,0.013,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
vwap,0.014,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
vwap,0.014,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
vwap,0.014,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
vwap,0.014,high2,57,35.08771929824561,7259.814060363999,9952.012311045837,-2.6921982506818387,4
vwap,0.014,high1,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
vwap,0.015,none,20,40.0,15100.325770111765,3492.4209214218145,11.607904848689952,10
vwap,0.015,ema21,25,40.0,16268.793204193402,4366.897397984314,11.901895806209088,6
vwap,0.015,ema9,36,44.44444444444444,23276.661597900587,6288.773200914004,16.987888396986587,3
