sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
ESCORTS,LONG,2121.45,2095.9925999999996,407,-10361.161800000096,-10662.51384933053,SL,2022-09-29 12:10:00+05:30,2022-09-29 13:05:00+05:30,2022-09-29,2022,2022-09
GLENMARK,LONG,389.95,387.6,2218,-5212.299999999925,-5515.647046333324,EMA50_DYN,2022-09-29 13:45:00+05:30,2022-09-29 14:25:00+05:30,2022-09-29,2022,2022-09
MFSL,LONG,762.2,770.3,1134,9185.399999999896,8878.134370769896,EOD,2022-09-29 14:30:00+05:30,2022-09-29 15:15:00+05:30,2022-09-29,2022,2022-09
BHARATFORG,LONG,703.65,706.7,1045,3187.2500000000714,2927.1747481405714,EMA50_DYN,2022-10-04 11:00:00+05:30,2022-10-04 14:15:00+05:30,2022-10-04,2022,2022-10
ASHOKLEY,LONG,75.95,75.7,9685,-2421.25,-2679.8121195365,EOD,2022-10-04 14:20:00+05:30,2022-10-04 15:15:00+05:30,2022-10-04,2022,2022-10
IDFCFIRSTB,LONG,54.45,54.4,13533,-676.6500000000577,-936.1682824533577,EMA50_DYN,2022-10-06 10:45:00+05:30,2022-10-06 13:40:00+05:30,2022-10-06,2022,2022-10
BANKBARODA,LONG,128.1,127.4,5752,-4026.3999999999346,-4284.9451697359345,EMA50_DYN,2022-10-06 13:45:00+05:30,2022-10-06 14:40:00+05:30,2022-10-06,2022,2022-10
RECLTD,LONG,95.25,95.6,7736,2707.599999999956,2447.119348474356,EOD,2022-10-06 14:45:00+05:30,2022-10-06 15:15:00+05:30,2022-10-06,2022,2022-10
SHRIRAMFIN,LONG,240.55,240.6,3005,150.24999999994876,-104.56390289955127,EMA50_DYN,2022-10-14 11:00:00+05:30,2022-10-14 14:05:00+05:30,2022-10-14,2022,2022-10
AUBANK,LONG,602.65,601.6,1199,-1258.9499999999455,-1513.2634879394454,EOD,2022-10-14 14:10:00+05:30,2022-10-14 15:15:00+05:30,2022-10-14,2022,2022-10
EXIDEIND,LONG,164.8,163.9,4338,-3904.200000000025,-4155.051297135625,EMA50_DYN,2022-10-27 10:30:00+05:30,2022-10-27 11:25:00+05:30,2022-10-27,2022,2022-10
CONCOR,LONG,633.1,629.7,1129,-3838.5999999999744,-4089.4233736711744,EMA50_DYN,2022-10-27 11:30:00+05:30,2022-10-27 14:45:00+05:30,2022-10-27,2022,2022-10
EXIDEIND,LONG,165.45,166.6,4321,4969.150000000024,4715.756434600724,EOD,2022-10-27 14:50:00+05:30,2022-10-27 15:15:00+05:30,2022-10-27,2022,2022-10
JINDALSTEL,LONG,492.85,499.19149999999996,1414,8966.880999999914,8718.694206484008,TSL,2022-11-11 10:45:00+05:30,2022-11-11 13:00:00+05:30,2022-11-11,2022,2022-11
