sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t
BATAINDIA,LONG,1937.5,1939.55,264,541.199999999988,360.76589648878803,RSI_EXIT,2022-07-29 11:25:00+05:30,2022-07-29 11:35:00+05:30
BATAINDIA,LONG,1937.1,1959.85,264,6006.0,5824.0389475752,RSI_EXIT,2022-07-29 11:40:00+05:30,2022-07-29 12:25:00+05:30
AUBANK,LONG,598.0,593.5,858,-3861.0,-4040.732363382,EMA50_DYN,2022-07-29 12:30:00+05:30,2022-07-29 14:15:00+05:30
GMRAIRPORT,LONG,37.5,37.45,13683,-684.1499999999611,-864.8017053320611,EOD,2022-07-29 14:30:00+05:30,2022-07-29 15:15:00+05:30
LTF,LONG,75.6,76.4,6702,5361.600000000076,5181.488092896076,EOD,2022-08-01 10:15:00+05:30,2022-08-01 15:15:00+05:30
CASTROLIND,LONG,114.65,114.55,4645,-464.5000000000396,-652.0650962840397,EMA50_DYN,2022-08-11 09:55:00+05:30,2022-08-11 10:40:00+05:30
GMRAIRPORT,LONG,34.9,34.8,15261,-1526.1000000000217,-1713.3822625242217,EMA50_DYN,2022-08-11 10:45:00+05:30,2022-08-11 13:05:00+05:30
CUMMINSIND,LONG,1240.4,1237.5,429,-1244.100000000039,-1431.294752916639,EOD,2022-08-11 13:10:00+05:30,2022-08-11 15:15:00+05:30
IDFCFIRSTB,LONG,49.85,49.3515,10304,-5136.544,-5316.112308145855,SL,2022-08-25 10:55:00+05:30,2022-08-25 14:30:00+05:30
GMRAIRPORT,LONG,34.9,34.65,14717,-3679.25,-3859.2244623211,EMA50_DYN,2022-08-25 14:35:00+05:30,2022-08-25 15:05:00+05:30
BANKBARODA,LONG,120.9,120.5,3869,-1547.600000000022,-1712.020724311622,EMA50_DYN,2022-08-26 11:15:00+05:30,2022-08-26 13:10:00+05:30
VOLTAS,LONG,1001.1,1008.5,467,3455.7999999999893,3290.0347215967895,EOD,2022-08-26 13:30:00+05:30,2022-08-26 15:15:00+05:30
CUMMINSIND,SHORT,1185.0,1183.65,401,541.3499999999635,374.02504482506356,EOD,2022-08-29 13:35:00+05:30,2022-08-29 15:15:00+05:30
PAGEIND,LONG,51143.65,51480.0,9,3027.149999999987,2864.052415395887,RSI_EXIT,2022-08-30 10:55:00+05:30,2022-08-30 11:05:00+05:30
CASTROLIND,LONG,114.7,114.55,4163,-624.4500000000237,-792.5657216115237,EMA50_DYN,2022-08-30 11:10:00+05:30,2022-08-30 13:20:00+05:30
BALKRISIND,LONG,2046.85,2046.2,233,-151.4499999999682,-319.4966667268682,EOD,2022-08-30 13:25:00+05:30,2022-08-30 15:15:00+05:30
ZEEL,SHORT,249.9,243.6525,1945,12151.387500000004,11983.554309952578,PARTIAL_PROFIT,2022-09-01 11:25:00+05:30,2022-09-01 12:35:00+05:30
PFC,SHORT,94.35,94.2984,5154,265.94639999996616,94.63219745945258,TSL,2022-09-01 13:15:00+05:30,2022-09-01 15:15:00+05:30
CONCOR,LONG,588.65,582.7635,928,-5462.671999999959,-5653.641408418487,SL,2022-09-08 11:00:00+05:30,2022-09-08 12:15:00+05:30
BANKBARODA,LONG,130.9,130.6,4176,-1252.8000000000475,-1445.1052134240474,EMA50_DYN,2022-09-08 12:20:00+05:30,2022-09-08 15:05:00+05:30
GODREJPROP,LONG,1433.45,1430.9,356,-907.7999999999838,-1087.399309743584,EMA50_DYN,2022-09-09 09:30:00+05:30,2022-09-09 11:25:00+05:30
BHARATFORG,LONG,783.0,787.65,652,3031.799999999985,2850.999834781185,EOD,2022-09-09 11:35:00+05:30,2022-09-09 15:15:00+05:30
CONCOR,SHORT,612.8,615.8639999999999,848,-2598.27199999997,-2782.168925590242,SL,2022-09-14 14:55:00+05:30,2022-09-14 15:00:00+05:30
GODREJPROP,LONG,1335.1,1323.2,379,-4510.0999999999485,-4687.150826228149,EMA50_DYN,2022-09-20 10:40:00+05:30,2022-09-20 11:25:00+05:30
ASHOKLEY,LONG,79.7,79.3,6350,-2540.000000000036,-2717.647180900036,EMA50_DYN,2022-09-20 11:30:00+05:30,2022-09-20 13:15:00+05:30
CANBK,LONG,46.93,46.63,10784,-3235.1999999999694,-3412.6475339750095,EMA50_DYN,2022-09-20 13:20:00+05:30,2022-09-20 13:45:00+05:30
