sym,dir,entry,exit,qty,gross,net,reason,entry_t,exit_t,exit_date,year,month
CASTROLIND,LONG,114.65,114.55,872,-87.20000000000744,-122.41135930240743,EMA50_DYN,2022-08-11 09:55:00+05:30,2022-08-11 10:40:00+05:30,2022-08-11,2022,2022-08
GMRAIRPORT,LONG,34.9,34.8,2865,-286.5000000000041,-321.6591430530041,EMA50_DYN,2022-08-11 10:45:00+05:30,2022-08-11 13:05:00+05:30,2022-08-11,2022,2022-08
CUMMINSIND,LONG,1240.4,1237.5,80,-232.00000000000728,-266.9081124320073,EOD,2022-08-11 13:10:00+05:30,2022-08-11 15:15:00+05:30,2022-08-11,2022,2022-08
IDFCFIRSTB,LONG,49.85,49.2518,2006,-1199.989199999997,-1234.8906146844379,SL,2022-08-25 10:55:00+05:30,2022-08-25 14:30:00+05:30,2022-08-25,2022,2022-08
GMRAIRPORT,LONG,34.9,34.65,2865,-716.25,-751.2861374295,EMA50_DYN,2022-08-25 14:35:00+05:30,2022-08-25 15:05:00+05:30,2022-08-25,2022,2022-08
BANKBARODA,LONG,120.9,120.5,827,-330.80000000000473,-365.94498294280476,EMA50_DYN,2022-08-26 11:15:00+05:30,2022-08-26 13:10:00+05:30,2022-08-26,2022,2022-08
VOLTAS,LONG,1001.1,1008.5,99,732.5999999999977,697.4591808095978,EOD,2022-08-26 13:30:00+05:30,2022-08-26 15:15:00+05:30,2022-08-26,2022,2022-08
CUMMINSIND,SHORT,1185.0,1183.65,84,113.39999999999236,78.34938594839235,EOD,2022-08-29 13:35:00+05:30,2022-08-29 15:15:00+05:30,2022-08-29,2022,2022-08
PAGEIND,LONG,51143.65,51066.1,1,-77.55000000000291,-95.5534849035029,EMA50_DYN,2022-08-30 10:55:00+05:30,2022-08-30 15:05:00+05:30,2022-08-30,2022,2022-08
ZEEL,SHORT,249.9,244.90200000000002,400,1999.1999999999962,1964.541121099196,PARTIAL_PROFIT,2022-09-01 11:25:00+05:30,2022-09-01 12:30:00+05:30,2022-09-01,2022,2022-09
CONCOR,LONG,588.65,581.5862,169,-1193.7822000000024,-1228.5030854922252,SL,2022-09-08 11:00:00+05:30,2022-09-08 12:15:00+05:30,2022-09-08,2022,2022-09
BANKBARODA,LONG,130.9,130.6,763,-228.90000000000867,-264.0362255370087,EMA50_DYN,2022-09-08 12:20:00+05:30,2022-09-08 15:05:00+05:30,2022-09-08,2022,2022-09
GODREJPROP,LONG,1433.45,1430.9,69,-175.94999999999686,-210.75997857389686,EMA50_DYN,2022-09-09 09:30:00+05:30,2022-09-09 11:25:00+05:30,2022-09-09,2022,2022-09
BHARATFORG,LONG,783.0,787.65,127,590.5499999999971,555.3327899036971,EOD,2022-09-09 11:35:00+05:30,2022-09-09 15:15:00+05:30,2022-09-09,2022,2022-09
GODREJPROP,LONG,1335.1,1323.2,74,-880.5999999999899,-915.1692906091899,EMA50_DYN,2022-09-20 10:40:00+05:30,2022-09-20 11:25:00+05:30,2022-09-20,2022,2022-09
ASHOKLEY,LONG,79.7,79.3,1254,-501.6000000000071,-536.6818212360072,EMA50_DYN,2022-09-20 11:30:00+05:30,2022-09-20 13:15:00+05:30,2022-09-20,2022,2022-09
CANBK,LONG,46.93,46.63,2130,-638.999999999994,-674.048520712794,EMA50_DYN,2022-09-20 13:20:00+05:30,2022-09-20 13:45:00+05:30,2022-09-20,2022,2022-09
ESCORTS,LONG,2100.0,2121.0415,47,988.9504999999913,953.8804242541783,TSL,2022-09-20 13:50:00+05:30,2022-09-20 14:00:00+05:30,2022-09-20,2022,2022-09
ESCORTS,LONG,2119.9,2103.6,47,-766.1000000000085,-800.9973830170086,EOD,2022-09-20 14:05:00+05:30,2022-09-20 15:15:00+05:30,2022-09-20,2022,2022-09
FEDERALBNK,LONG,113.45,114.7235,881,1121.9534999999987,1086.4049841861076,TSL,2022-09-27 10:50:00+05:30,2022-09-27 14:20:00+05:30,2022-09-27,2022,2022-09
ESCORTS,LONG,2024.3,2031.05,49,330.75,295.69537015410003,EOD,2022-09-27 14:25:00+05:30,2022-09-27 15:15:00+05:30,2022-09-27,2022,2022-09
